id;jabatan;unsur;sub_unsur;kegiatan;bobot
847;Analis Hukum;Analisis dan Evaluasi Pembentukan Peraturan Perundang-Undangan;Analisis Pembentukan Naskah Akademik, Penjelasan, Keterangan Untuk Pembentukan Peraturan Perundang-undangan;Mengumpulkan dan Mengklasifikasi bahan dan data untuk pembentukan Naskah Akademik, Penjelasan, Keterangan untuk pembentukan peraturan perundang-undangan;0.325
848;Analis Hukum;Analisis dan Evaluasi Pembentukan Peraturan Perundang-Undangan;Analisis Pembentukan Naskah Akademik, Penjelasan, Keterangan Untuk Pembentukan Peraturan Perundang-undangan;Menganalisis dan mengevaluasi permasalahan hukum untuk pembentukan Naskah Akademik, Penjelasan, Keterangan untuk pembentukan peraturan perundang-undangan;0.696
849;Analis Hukum;Analisis dan Evaluasi Pembentukan Peraturan Perundang-Undangan;Analisis Pembentukan Naskah Akademik, Penjelasan, Keterangan Untuk Pembentukan Peraturan Perundang-undangan;Menganalisis dan mengevaluasi kebutuhan kebijakan/pengaturan untuk penyelesaian permasalahan hukum di masyarakat;0.648
850;Analis Hukum;Analisis dan Evaluasi Pembentukan Peraturan Perundang-Undangan;Analisis Pembentukan Naskah Akademik, Penjelasan, Keterangan Untuk Pembentukan Peraturan Perundang-undangan;Menganalisis dan mengevaluasi dampak penerapan kebijakan/pengaturan untuk penyelesaian permasalahan hukum di masyarakat;1.188
851;Analis Hukum;Analisis dan Evaluasi Pembentukan Peraturan Perundang-Undangan;Analisis Kebutuhan Hukum Untuk Pembangunan Hukum Nasional;Mengklasifikasi isu aktual hukum atau permasalahan hukum di masyarakat;0.299
852;Analis Hukum;Analisis dan Evaluasi Pembentukan Peraturan Perundang-Undangan;Analisis Kebutuhan Hukum Untuk Pembangunan Hukum Nasional;Menganalisis dan mengevaluasi isu aktual hukum atau permasalahan hukum di masyarakat;0.576
853;Analis Hukum;Analisis dan Evaluasi Pembentukan Peraturan Perundang-Undangan;Analisis Kebutuhan Hukum Untuk Pembangunan Hukum Nasional;Menganalisis dan mengevaluasi kebutuhan hukum di masyarakat;0.528
854;Analis Hukum;Analisis dan Evaluasi Pembentukan Peraturan Perundang-Undangan;Analisis Kebutuhan Hukum Untuk Pembangunan Hukum Nasional;Merumuskan rekomendasi hasil analisis dan evaluasi isu aktual dan kebutuhan hukum masyarakat sebagai bahan dasar penyusunan kebijakan;0.990
855;Analis Hukum;Analisis Permasalahan Hukum yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Analisis Permasalahan Hukum yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Mengklasifikasi bahan dan data terkait permasalahan atau kasus hukum yang terkait dengan tugas dan fungsi Instansi Pemerintah;0.260
856;Analis Hukum;Analisis Permasalahan Hukum yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Analisis Permasalahan Hukum yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Menganalisis atau menelaah permasalahan hukum yang terkait dengan tugas dan fungsi Instansi Pemerinta;0.528
857;Analis Hukum;Analisis Permasalahan Hukum yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Analisis Permasalahan Hukum yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Merumuskan dan memberikan pendapat hukum dan pertimbangan hukum atas permasalahan hukum yang terkait dengan tugas dan fungsi Instansi Pemerintah;0.550
858;Analis Hukum;Analisis Permasalahan Hukum yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Analisis Permasalahan Hukum yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Melakukan layanan konsultasi hukum kepada terkait tugas dan fungsi Instansi Pemerintah kepada pihak pemangku kepentingan;0.413
859;Analis Hukum;Analisis terhadap Pengawasan Pelaksanaan Peraturan Perundang-undangan yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Analisis terhadap pengawasan pelaksanaan peraturan perundang-undangan yang terkait dengan tugas dan fungsi Instansi Pemerintah;Mengidentifikasi permasalahan hukum yang berpotensi sengketa hukum;0.182
860;Analis Hukum;Analisis terhadap Pengawasan Pelaksanaan Peraturan Perundang-undangan yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Analisis terhadap pengawasan pelaksanaan peraturan perundang-undangan yang terkait dengan tugas dan fungsi Instansi Pemerintah;Mengklasifikasi bahan dan data terkait permasalahan hukum yang berpotensi sengketa hukum;0.456
861;Analis Hukum;Analisis terhadap Pengawasan Pelaksanaan Peraturan Perundang-undangan yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Analisis terhadap pengawasan pelaksanaan peraturan perundang-undangan yang terkait dengan tugas dan fungsi Instansi Pemerintah;Menganalisis dan mengevaluasi terkait permasalahan hukum yang berpotensi sengketa hukum;0.182
862;Analis Hukum;Analisis terhadap Pengawasan Pelaksanaan Peraturan Perundang-undangan yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Analisis terhadap pengawasan pelaksanaan peraturan perundang-undangan yang terkait dengan tugas dan fungsi Instansi Pemerintah;Menyusun kerangka Somasi;0.312
863;Analis Hukum;Analisis terhadap Pengawasan Pelaksanaan Peraturan Perundang-undangan yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Analisis penanganan atas pengaduan atau somasi dari masyarakat atau lembaga yang terkait dengan tugas dan fungsi Instansi Pemerintah;Mengidentifikasi somasi atau pengaduan yang masuk;0.182
864;Analis Hukum;Analisis terhadap Pengawasan Pelaksanaan Peraturan Perundang-undangan yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Analisis penanganan atas pengaduan atau somasi dari masyarakat atau lembaga yang terkait dengan tugas dan fungsi Instansi Pemerintah;Mengklasifikasi bahan dan data terkait somasi atau pengaduan yang masuk;0.195
865;Analis Hukum;Analisis terhadap Pengawasan Pelaksanaan Peraturan Perundang-undangan yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Analisis penanganan atas pengaduan atau somasi dari masyarakat atau lembaga yang terkait dengan tugas dan fungsi Instansi Pemerintah;Menganalisis dan mengevaluasi terkait somasi atau pengaduan yang masuk;0.360
866;Analis Hukum;Analisis terhadap Pengawasan Pelaksanaan Peraturan Perundang-undangan yang terkait dengan Tugas dan Fungsi Instansi Pemerintah;Analisis penanganan atas pengaduan atau somasi dari masyarakat atau lembaga yang terkait dengan tugas dan fungsi Instansi Pemerintah;Menyusun kerangka jawaban somasi atau materi tanggapan atas pengaduan atau permohonan;0.195
867;Analis Hukum;Analisis dan Evaluasi Dokumen Perjanjian dan Pelaksanaan Perjanjian In;Analisis dan Evaluasi perjanjian Kerja sama / kontrak kerja sama / kesepakatan bersama / nota kesepahaman;Mengklasifikasi bahan dan data untuk penyusunan konsep perjanjian;0.240
868;Analis Hukum;Analisis dan Evaluasi Dokumen Perjanjian dan Pelaksanaan Perjanjian In;Analisis dan Evaluasi perjanjian Kerja sama / kontrak kerja sama / kesepakatan bersama / nota kesepahaman;Menganalisis dan mengevaluasi konsep perjanjian kerja sama/kesepakatan bersama/nota kesepahaman;0.240
869;Analis Hukum;Analisis dan Evaluasi Dokumen Perjanjian dan Pelaksanaan Perjanjian In;Analisis dan Evaluasi perjanjian Kerja sama / kontrak kerja sama / kesepakatan bersama / nota kesepahaman;Menganalisis dan mengevaluasi pelaksanaan perjanjian kerja sama/kesepakatan bersama/nota kesepahaman;0.330
870;Analis Hukum;Analisis dan Evaluasi Dokumen Perjanjian dan Pelaksanaan Perjanjian In;Analisis dan Evaluasi Perjanjian Internasional;Mengklasifikasi perjanjian internasional yang telah dan belum diratifikasi;0.247
871;Analis Hukum;Analisis dan Evaluasi Dokumen Perjanjian dan Pelaksanaan Perjanjian In;Analisis dan Evaluasi Perjanjian Internasional;Mengklasifikasi bahan dan data untuk penyusunan konsep Perjanjian Internasional atau evaluasi pelaksanaan perjanjian internasional;0.247
872;Analis Hukum;Analisis dan Evaluasi Dokumen Perjanjian dan Pelaksanaan Perjanjian In;Analisis dan Evaluasi Perjanjian Internasional;Menelaah perjanjian internasional yang akan diratifikasi/aksesi;0.480
873;Analis Hukum;Analisis dan Evaluasi Dokumen Perjanjian dan Pelaksanaan Perjanjian In;Analisis dan Evaluasi Perjanjian Internasional;Menganalisis dan mengevaluasi pelaksanaan perjanjian internasional yang telah ditandatangani atau diratifikasi;0.624
874;Analis Hukum;Analisis dan Evaluasi Pelayanan Hukum, Perizinan dan Informasi Hukum;Menganalisis dan mengevaluasi Kebijakan Pelayanan Hukum dan Perizinan yang menjadi kewenangan Instansi Pemerintah;Mengklasifikasi bahan atau data terkait permohonan perizinan dan pelayanan hukum;0.169
875;Analis Hukum;Analisis dan Evaluasi Pelayanan Hukum, Perizinan dan Informasi Hukum;Menganalisis dan mengevaluasi Kebijakan Pelayanan Hukum dan Perizinan yang menjadi kewenangan Instansi Pemerintah;Menganalisis dan mengevaluasi permohonan perizinan dan pelayanan hukum;0.096
876;Analis Hukum;Analisis dan Evaluasi Pelayanan Hukum, Perizinan dan Informasi Hukum;Menganalisis dan mengevaluasi Kebijakan Pelayanan Hukum dan Perizinan yang menjadi kewenangan Instansi Pemerintah;Merumuskan pertimbangan hukum atas permohonan perizinan dan pelayanan hukum;0.248
877;Analis Hukum;Analisis dan Evaluasi Pelayanan Hukum, Perizinan dan Informasi Hukum;Menganalisis dan mengevaluasi Kebijakan Pelayanan Hukum dan Perizinan yang menjadi kewenangan Instansi Pemerintah;Melakukan pemantauan atau evaluasi terhadap perizinan dan pelayanan hukum yang telah diberikan;0.083
878;Analis Hukum;Analisis dan Evaluasi Pelayanan Hukum, Perizinan dan Informasi Hukum;Analisis Konteks dan Isi Informasi Hukum;Mengklasifikasi dokumentasi dan informasi hukum berdasarkan pembidangan hukum atau pembagian urusan pemerintahan;0.065
879;Analis Hukum;Analisis dan Evaluasi Pelayanan Hukum, Perizinan dan Informasi Hukum;Analisis Konteks dan Isi Informasi Hukum;Mereviu laporan hasil klasifikasi dokumen atau informasi hukum;0.090
880;Analis Hukum;Analisis dan Evaluasi Pelayanan Hukum, Perizinan dan Informasi Hukum;Analisis Konteks dan Isi Informasi Hukum;Menyusun dan menyempurnakan abstrak hukum;0.034
881;Analis Hukum;Analisis dan Evaluasi Pelayanan Hukum, Perizinan dan Informasi Hukum;Analisis Konteks dan Isi Informasi Hukum;Menganalisis status dokumen hukum;0.090
882;Analis Hukum;Analisis dan Evaluasi Pelayanan Hukum, Perizinan dan Informasi Hukum;Analisis dan Evaluasi Penyelenggaraan Bantuan Hukum yang dilaksanakan oleh Organisasi Bantuan Hukum;Mengklasifikasi bahan atau data terkait dengan verifikasi dan akreditasi Organisasi Bantuan Hukum;0.025
883;Analis Hukum;Analisis dan Evaluasi Pelayanan Hukum, Perizinan dan Informasi Hukum;Analisis dan Evaluasi Penyelenggaraan Bantuan Hukum yang dilaksanakan oleh Organisasi Bantuan Hukum;Menganalisis atau mereviu jejaring bantuan hukum;0.030
884;Analis Hukum;Analisis dan Evaluasi Pelayanan Hukum, Perizinan dan Informasi Hukum;Analisis dan Evaluasi Penyelenggaraan Bantuan Hukum yang dilaksanakan oleh Organisasi Bantuan Hukum;Menganalisis atau mereviu data dan informasi bantuan hukum dalam rangka verifikasi dokumen;0.005
885;Analis Hukum;Analisis dan Evaluasi Pelayanan Hukum, Perizinan dan Informasi Hukum;Analisis dan Evaluasi Penyelenggaraan Bantuan Hukum yang dilaksanakan oleh Organisasi Bantuan Hukum;Menganalisis atau mereviu instrumen dan aplikasi pengelolaan bantuan hukum;0.020
886;Analis Hukum;Advokasi Hukum;Melaksanakan advokasi dalam perkara perdata, tata usaha negara, dan uji materiil peraturan perundang-undangan;mengidentifikasi gugatan;0.110
887;Analis Hukum;Advokasi Hukum;Melaksanakan advokasi dalam perkara perdata, tata usaha negara, dan uji materiil peraturan perundang-undangan;Mengklasifikasi bahan dan data perkara hukum;0.165
888;Analis Hukum;Advokasi Hukum;Melaksanakan advokasi dalam perkara perdata, tata usaha negara, dan uji materiil peraturan perundang-undangan;Menganalisis dan mengevaluasi perkara hukum;0.320
889;Analis Hukum;Advokasi Hukum;Melaksanakan advokasi dalam perkara perdata, tata usaha negara, dan uji materiil peraturan perundang-undangan;Menyusun kelengkapan administrasi persidangan;0.154
890;Analis Hukum;Advokasi Hukum;Melaksanakan advokasi diluar persidangan (nonlitigasi);Menyusun kelengkapan administrasi pendampingan;0.132
891;Analis Hukum;Advokasi Hukum;Melaksanakan advokasi diluar persidangan (nonlitigasi);Menelaah kelengkapan administrasi pendampingan;0.120
892;Analis Hukum;Advokasi Hukum;Melaksanakan advokasi diluar persidangan (nonlitigasi);Menyempurnakan administrasi pendampingan;0.270
893;Analis Hukum;Advokasi Hukum;Melaksanakan Advokasi Hukum Secara adjudikas;Mengidentifikasi permohonan;0.143
894;Analis Hukum;Advokasi Hukum;Melaksanakan Advokasi Hukum Secara adjudikas;Mengklasifikasi bahan dan data perkara hukum;0.143
895;Analis Hukum;Advokasi Hukum;Melaksanakan Advokasi Hukum Secara adjudikas;Menganalisis dan mengevaluasi perkara hukum;0.360
896;Analis Hukum;Advokasi Hukum;Melaksanakan advokasi hukum di forum alternatif penyelesaian sengketa;mengidentifikasi permohonan;0.143
897;Analis Hukum;Advokasi Hukum;Melaksanakan advokasi hukum di forum alternatif penyelesaian sengketa;Mengklasifikasi bahan dan data perkara hukum;0.264
898;Analis Hukum;Advokasi Hukum;Melaksanakan advokasi hukum di forum alternatif penyelesaian sengketa;Menganalisis dan mengevaluasi perkara hukum;0.187
899;Analis Barang milik negara;Pengelolaan BMN/D;Perencanaan Kebutuhan BMN/D untuk pengadaan;identifikasi dan mengumpulkan data/dokumen BMN/D untuk penyusunan rencana kebutuhan BMN/D pengadaan berupa tanah dan/atau bangunan;0.044
900;Analis Barang milik negara;Pengelolaan BMN/D;Perencanaan Kebutuhan BMN/D untuk pengadaan;identifikasi dan mengumpulkan data/dokumen BMN/D untuk penyusunan rencana kebutuhan BMN/D pengadaan berupa selain tanah dan/atau bangunan;0.044
901;Analis Barang milik negara;Pengelolaan BMN/D;Perencanaan Kebutuhan BMN/D untuk pemeliharaan;identifikasi, mengumpulkan, dan memutakhirkan data/dokumen;0.044
902;Analis Barang milik negara;Pengelolaan BMN/D;Perencanaan Kebutuhan BMN/D untuk pemeliharaan;Menyusun surat usulan rencana kebutuhan BMN/D pengadaan dan pemeliharaan beserta dokumen kelengkapannnya;0.006
903;Analis Barang milik negara;Pengelolaan BMN/D;Penggunaan BMN/D;Mengidentifikasi dan mengumpulkan data/dokumen usulan penggunaan BMN/D;0.022
904;Analis Barang milik negara;Pengelolaan BMN/D;Pemanfaatan BMN/D;Mengidentifikasi dan mengumpulkan data dokumen usulan sewa/pinjam pakai BMN/D;0.006
905;Analis Barang milik negara;Pengelolaan BMN/D;Pemanfaatan BMN/D;Menyusun surat usulan sewa/pinjam pakai BMN/D beserta kelengkapannya;0.044
906;Analis Barang milik negara;Pengelolaan BMN/D;Pemindahtanganan dan Pemusnahan BMN/D;Mengidentifikasi dan mengumpulkan data/dokumen usulan pemindahtanganan BMN/D berupa tanah dan/atau bangunan atau selain tanah dan/atau bangunan kurang dari 500 (lima ratus) unit;0.110
907;Analis Barang milik negara;Pengelolaan BMN/D;Penghapusan BMN/D;Mengidentifikasi dan mengumpulkan data/dokumen usulan penghapusan BMN/D;0.022
908;Analis Barang milik negara;Pengelolaan BMN/D;Penghapusan BMN/D;menyusun laporan pelaksanaan penghapusan BMN/D;0.012
909;Analis Barang milik negara;Pengelolaan BMN/D;Pengamanan dan pemeliharaan BMN/D;Menyusun rekomendasi pengamanan fisik dan pemeliharaan BMN/D;0.001
910;Analis Barang milik negara;Pengelolaan BMN/D;Pengamanan dan pemeliharaan BMN/D;Melaksanakan pengamanan administrasi BMN/D;0.022
911;Analis Barang milik negara;Pengelolaan BMN/D;Pengamanan dan pemeliharaan BMN/D;Melaksanakan pengamanan hukum BMN/D;0.022
912;Analis Barang milik negara;Pengelolaan BMN/D;Pembukuan BMN/D;Membukukan data transaksi BMN/D berupa aset tetap dan aset lainnya;0.001
913;Analis Barang milik negara;Pengelolaan BMN/D;Pelaporan BMN/D;Menyusun Laporan Barang Kuasa Pengguna Semesteran/Tahunan;0.065
914;Analis Barang milik negara;Pengelolaan BMN/D;Rekonsiliasi BMN/D;Melakukan rekonsiliasi internal tingkat Unit Akuntansi Kuasa Pengguna Barang;0.012
915;Analis Barang milik negara;Pengelolaan BMN/D;Pelaporan persediaan;Melakukan opname fisik barang persediaan;0.048
916;Analis Barang milik negara;Pengelolaan BMN/D;Pelaporan persediaan;Menyusun laporan persediaan;0.022
917;Analis Barang milik negara;Pengelolaan BMN/D;Inventarisasi BMN/D;Melakukan persiapan pelaksanaan inventarisasi pada unit kerjanya;0.044
918;Analis Barang milik negara;Pengelolaan BMN/D;Pengawasan dan pengendalian BMN/D;Melakukan pemantauan dan penertiban BMN/D;0.022
919;analis humas (pranata humas);PELAYANAN INFORMASI DAN KEHUMASAN;Perencanaan;Mengumpulkan data untuk perencanaan pelayanan informas;0.008
920;analis humas (pranata humas);PELAYANAN INFORMASI DAN KEHUMASAN;Perencanaan;Mengumpulkan data untuk perencanaan pengembangan pelayanan informas;0.008
921;analis humas (pranata humas);PELAYANAN INFORMASI DAN KEHUMASAN;Perencanaan;Mengumpulkan data untuk perencanaan hubungan eksterna;0.008
922;analis humas (pranata humas);PELAYANAN INFORMASI DAN KEHUMASAN;Perencanaan;Mengumpulkan data untuk perencanaan hubungan internal;0.008
923;analis humas (pranata humas);PELAYANAN INFORMASI DAN KEHUMASAN;Pelayanan Informasi dan Kehumasan;Mengumpulkan data dan informasi untuk pelayanan informasi;0.010
924;analis humas (pranata humas);PELAYANAN INFORMASI DAN KEHUMASAN;Pelayanan Informasi dan Kehumasan;Mengumpulkan konten media;0.004
925;analis humas (pranata humas);PELAYANAN INFORMASI DAN KEHUMASAN;Pelayanan Informasi dan Kehumasan;Mengumpulkan isu publik;0.040
926;analis humas (pranata humas);PELAYANAN INFORMASI DAN KEHUMASAN;Pelayanan Informasi dan Kehumasan;Mengolah konten media;0.040
927;analis humas (pranata humas);PELAYANAN INFORMASI DAN KEHUMASAN;Pelaksanaan Hubungan Eksternal dan Internal;Mengumpulkan data dan informasi untuk pelaksanaan hubungan eksternal;0.006
928;analis humas (pranata humas);PELAYANAN INFORMASI DAN KEHUMASAN;Pelaksanaan Hubungan Eksternal dan Internal;Mengumpulkan data dan informasi untuk pelayanan hubungan internal;0.004
929;analis humas (pranata humas);PELAYANAN INFORMASI DAN KEHUMASAN;Pelaksanaan Hubungan Eksternal dan Internal;Mengolah data dan informasi dalam rangka pelaksanaan hubungan eksternal;0.020
930;analis humas (pranata humas);PELAYANAN INFORMASI DAN KEHUMASAN;Pelaksanaan Hubungan Eksternal dan Internal;Mengolah data dan informasi hubungan internal;0.015
931;Pengolah data dan informasi hukum;Pengelolaan data dan informasi hukum;pengumpulan;Menyiapkan bahan/instrumen pelaksanaan pengumpulan data dan informasi bidang hukum sesuai dengan sasaran/responden;1.000
932;Pengolah data dan informasi hukum;Pengelolaan data dan informasi hukum;pengumpulan;"mengumpulkan data dan informasi bidang hukum dari unit kerja dan sumber lain;";1.000
933;Pengolah data dan informasi hukum;Pengelolaan data dan informasi hukum;pengumpulan;"Merekapitulasi data dan informasi bidang hukum sesuai dengan jenis data sebagai bahan informasi;";1.000
934;Pengolah data dan informasi hukum;Pengelolaan data dan informasi hukum;Pengolahan di bidang data dan informasi.;"Mengolah data dan informasi bidang hukum sesuai dengan klasifikasinya sebagai bahan analisis;";1.000
935;Pengolah data dan informasi hukum;Pengelolaan data dan informasi hukum;Pengolahan di bidang data dan informasi.;"Memverifikasi dan mengorfirmasi data dan informasi bidang hukum untuk keakuratan data;";1.000
936;Pengolah data dan informasi hukum;Pengelolaan data dan informasi hukum;Pengolahan di bidang data dan informasi.;"Melaporkan hasil pelaksanaan tugas kepada atasan sebahan bahan pertanggungjawaban; dan";1.000
937;Pengolah data dan informasi hukum;Pengelolaan data dan informasi hukum;Pengolahan di bidang data dan informasi.;Melaksanakan tugas kedinasan lain yang yang diberikan oleh atasan;1.000
938;Pengolah data dan informasi hukum;Pengelolaan data dan informasi hukum;pendokumentasian/penginputan;"Menginput data dan informasi bidang hukum sesuai dengan format pengolahan data;";1.000
939;Pengolah data dan informasi hukum;Pengelolaan data dan informasi hukum;pendokumentasian/penginputan;"Menyajikan data dan informasi bidang hukum sesuai dengan ketentuan dan perintah atasan;";1.000
940;Pengolah data dan informasi hukum;Pengelolaan data dan informasi hukum;pendokumentasian/penginputan;"Menyimpan data dan informasi bidang hukum sesuai dengan prosedur agar mudah digunakan/ditemukan;";1.000
941;Pengolah data dan informasi hukum;Pengelolaan data dan informasi hukum;pendokumentasian/penginputan;"Melayani permintaan data di bidang hukum sesuai dengan ketentuan;";1.000
942;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Membuat usulan daftar rencana kegiatan;Membuat rencana kegiatan yang akan dilaksanakan termasuk metode pelaksanaannya;1.000
943;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Membuat usulan daftar rencana kegiatan;Melakukan penghitungan perkiraan biaya yang dibutuhkan untuk melaksanakan kegiatan tersebut;1.000
944;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Membuat usulan daftar rencana kegiatan;Menyampaikannya kepada Kepala Subbagian Umum dan TI untuk direviu;1.000
945;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Memberikan pelayanan yang bersifat umum;memelihara dan mengoperasikan genset;1.000
946;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Memberikan pelayanan yang bersifat umum;mengurus tagihan;1.000
947;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Memberikan pelayanan yang bersifat umum;mengatur jadwal pelayanan pramubakti;1.000
948;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Melaksanakan pemeliharaan gedung dan rumah dinas;memberikan penugasan kepada pramubakti;1.000
949;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Melaksanakan pemeliharaan gedung dan rumah dinas;memberikan penugasan kepada pramubakti;1.000
950;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Melaksanakan pemeliharaan gedung dan rumah dinas;melaksanakan perbaikan kecil dilingkungan rumah dinas dan gedung kantor;1.000
951;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Melaksanakan pemeliharaan gedung dan rumah dinas;memantau pekerjaan yang dilakukan oleh pihak rekanan;1.000
952;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Koordinasi dengan pihak lain;koordinasi dengan pihak-pihak terkait (teknisi, pengemudi, dan lain-lain) untuk melaksanakan kegiatan pemeliharaan kendaraan dinas sesuai standar, sistem, dan prosedur yang berlaku sehingga kendaraan dinas;1.000
953;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Koordinasi dengan pihak lain;koordinasi dengan pihak-pihak terkait (petugas keamanan, polisi, dan lain-lain) untuk melaksanakan kegiatan pengamanan gedung dan rumah dinas;1.000
954;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;penyiapan prasarana sarana untuk berbagai acara;menginventaris prasarana sarana;1.000
955;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;penyiapan prasarana sarana untuk berbagai acara;"menyiapkan prasarana sarana sesuai kebutuhan;";1.000
956;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;penyiapan prasarana sarana untuk berbagai acara;berkoordinasi dengan petugas kebersihan dan keamanan untuk mendukung pelaksanaan kegiatan;1.000
957;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;penyiapan prasarana sarana untuk berbagai acara;mengecek prasarana sarana;1.000
958;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;penyiapan prasarana sarana untuk berbagai acara;Menyiapkan bahan pembuatan Laporan Kegiatan Mingguan;1.000
959;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Pengembangan kompetensi;pengembangan kompetensi;1.000
960;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Pengembangan kompetensi;Menyusun usulan SKP dan mendiskusikannya dengan Kepala Subbagian Umum dan TI;1.000
961;Pemelihara Sarana dan Prasarana;Pelayanan sarana prasarana;Pengembangan kompetensi;Melaksanakan pemanfaatan layanan TI dalam pelaksanaan tugas dan fungsi;1.000
962;Pranata Kearsipan;Pelayanan sarana prasarana;usulan daftar rencana kegiatan;membuat rencana kegiatan;1.000
963;Pranata Kearsipan;Pelayanan sarana prasarana;usulan daftar rencana kegiatan;melakukan penghitungan perkiraan biaya;1.000
964;Pranata Kearsipan;Pelayanan sarana prasarana;usulan daftar rencana kegiatan;menyampaikannya kepada Kepala Subbagian Umum dan TI;1.000
965;Pranata Kearsipan;Pelayanan sarana prasarana;layanan penciptaan arsip;Memberikan pelayananan penggunaan arsip aktif;1.000
966;Pranata Kearsipan;Pelayanan sarana prasarana;layanan penciptaan arsip;penataan arsip inaktif;1.000
967;Pranata Kearsipan;Pelayanan sarana prasarana;Melaksanakan pemeliharaan ruangan penyimpanan arsip;"Mengidentifikasi kebutuhan sarana dan prasana untuk ruangan penyimpanan arsip;";1.000
968;Pranata Kearsipan;Pelayanan sarana prasarana;Melaksanakan pemeliharaan ruangan penyimpanan arsip;Menyusun jadwal pemeliharaan ruangan penyimpanan arsip;1.000
969;Pranata Kearsipan;Pelayanan sarana prasarana;Menatausahakan dan dan menyimpan arsip aktif sesuai standar;Berkoordinasi dengan pihak-pihak terkait pelaksanaan pemeliharaan ruangan penyimpanan arsip.;1.000
970;Pranata Kearsipan;Pelayanan sarana prasarana;Menatausahakan dan dan menyimpan arsip aktif sesuai standar;Menyiapkan bahan pembuatan Laporan Kegiatan Mingguan;1.000
971;Pranata Kearsipan;Pelayanan sarana prasarana;Menatausahakan dan dan menyimpan arsip aktif sesuai standar;Melaksanakan pengembangan kompetensi;1.000
972;Pranata Kearsipan;Pelayanan sarana prasarana;Menatausahakan dan dan menyimpan arsip aktif sesuai standar;Menyusun usulan SKP;1.000
973;Pranata Kearsipan;Pelayanan sarana prasarana;Menatausahakan dan dan menyimpan arsip aktif sesuai standar;Melaksanakan pemanfaatan layanan TI dalam pelaksanaan tugas dan fungsi;1.000
974;Analis Pengembangan Kompetensi;Pemetaan Kompetensi;Analisis Profil ASN;Menyusun instrumen kebutuhan pengembangan kompetensi;0.540
975;Analis Pengembangan Kompetensi;Pemetaan Kompetensi;Analisis Profil ASN;uji validitas instrumen kebutuhan pengembangan kompetensi;1.210
976;Analis Pengembangan Kompetensi;Pemetaan Kompetensi;Analisis Profil ASN;menyusun bahan profil kompetensi ASN;0.430
977;Analis Pengembangan Kompetensi;Pemetaan Kompetensi;Analisis Profil ASN;Menyusun kebutuhan pengembangan kompetensi unit kerja;0.500
978;Analis Pengembangan Kompetensi;Pemetaan Kompetensi;Kajian pemetaan kompetensi;menyusun peta sebaran kompetensi pegawai ASN pada instansi;0.500
979;Analis Pengembangan Kompetensi;Pemetaan Kompetensi;Kajian pemetaan kompetensi;menyusun peta jalan pengembangan kompetensi;2.080
980;Analis Pengembangan Kompetensi;Pemetaan Kompetensi;Inventarisasi jenis dan jalur pengembangan kompetensi;menyusun jenis dan jalur pengembangan kompetensi;0.450
981;Analis Pengembangan Kompetensi;Pemetaan Kompetensi;Inventarisasi jenis dan jalur pengembangan kompetensi;memetakan kualifikasi pengembangan kompetensi;0.500
982;Analis Pengembangan Kompetensi;Pengembangan kompetensi;Desain pengembangan kompetensi;Mengidentifikasi lembaga penyelenggara pengembangan kompetensi;0.530
983;Analis Pengembangan Kompetensi;Pengembangan kompetensi;Desain pengembangan kompetensi;MErancang jenis dan jalur pengembangan kompetensi;1.170
